cur_zone_number,success_ratio_within_window,success_count_within_window,success,stepN,episodeN,episodeNInZone,episodeInWindow,ease_count,total_streched_ctr,restart_game_count,total_reward,total_step_count_for_experiment,goal,distance_traveled,energy_consumed,flight_time,time_stamp,weight_file_under_test
0,0.019,19,False,750,86,86,86,0,0,2,-857.9666510223145,28393,"[-9.25, -7.75, 0]",233.73220825195312,0.0,226.78683471679688,1653449504679022592,
0,0.019,19,False,90,87,87,87,0,0,2,-211.0896024555623,28483,"[-11.25, 8.0, 0]",56.29212188720703,0.0,33.72071838378906,1653449544308818944,
0,0.019,19,False,163,88,88,88,0,0,2,-262.28491099766177,28646,"[9.5, -8.25, 0]",59.57771682739258,0.0,55.04817581176758,1653449600788607744,
0,0.019,19,False,89,89,89,89,0,0,2,-215.26253869468363,28735,"[-8.25, 8.5, 0]",44.504520416259766,0.0,32.5746955871582,1653449634828675840,
0,0.02,20,True,45,90,90,90,0,0,2,965.0963873625044,28780,"[-10.25, -10.25, 0]",27.61660385131836,0.0,19.359413146972656,1653449655613695744,
0,0.02,20,False,133,91,91,91,0,0,2,-229.01770722834354,28913,"[-11.25, -8.75, 0]",60.446712493896484,0.0,46.09298324584961,1653449703169310464,
0,0.02,20,False,143,92,92,92,0,0,2,-273.12099508283137,29056,"[-8.25, 8.5, 0]",56.57322692871094,0.0,49.69306182861328,1653449754332432384,
0,0.02,20,False,101,93,93,93,0,0,2,-202.55180614743904,29157,"[11.0, -10.25, 0]",57.15779113769531,0.0,36.92778778076172,1653449792724550400,
0,0.02,20,False,123,94,94,94,0,0,2,-239.9463076527761,29280,"[-8.25, 8.0, 0]",45.764522552490234,0.0,44.40094757080078,1653449838566249472,
0,0.02,20,False,130,95,95,95,0,0,2,-232.8825715982593,29410,"[9.0, 9.0, 0]",67.76329040527344,0.0,45.699974060058594,1653449885743142656,
0,0.02,20,False,112,96,96,96,0,0,2,-233.8573034880878,29522,"[-8.25, 9.0, 0]",53.52448272705078,0.0,40.557865142822266,1653449927732102400,
0,0.021,21,True,89,97,97,97,0,0,2,921.922972344602,29611,"[-8.25, 10.0, 0]",35.402408599853516,0.0,34.15272903442383,1653449963332672256,
0,0.021,21,False,61,98,98,98,0,0,2,-180.58186603493803,29672,"[7.5, 8.5, 0]",41.79859161376953,0.0,26.154558181762695,1653449990945417984,
0,0.021,21,False,172,99,99,99,0,0,2,-277.16856030071233,29844,"[9.5, -7.75, 0]",63.46818161010742,0.0,60.64029312133789,1653450053015427584,
0,0.021,21,False,85,100,100,100,0,0,2,-209.98523885686998,29929,"[-8.75, 9.0, 0]",47.164947509765625,0.0,33.3397102355957,1653450087922877696,
0,0.021,21,False,183,101,101,101,0,0,2,-306.6465270952493,30112,"[8.0, 9.5, 0]",70.89608001708984,0.0,66.23541259765625,1653450155595761664,
0,0.021,21,False,72,102,102,102,0,0,2,-176.77513388363985,30184,"[7.5, 9.0, 0]",41.80936050415039,0.0,31.026662826538086,1653450188172758784,
0,0.021,21,False,87,103,103,103,0,0,2,-206.48526671097005,30271,"[-9.75, 8.0, 0]",46.896240234375,0.0,34.884742736816406,1653450224485923840,
0,0.021,21,False,119,104,104,104,0,0,2,-236.61143452035594,30390,"[10.5, -7.75, 0]",70.86690521240234,0.0,46.278987884521484,1653450272204327936,
0,0.022,22,True,60,105,105,105,0,0,2,951.773137547239,30450,"[11.0, -11.25, 0]",28.24774742126465,0.0,26.11855697631836,1653450299779110400,
0,0.022,22,False,144,106,106,106,0,0,2,-264.73434201801433,30594,"[-11.25, 7.5, 0]",74.5486068725586,0.0,53.338138580322266,1653450354683455744,
0,0.022,22,False,107,107,107,107,0,0,2,-209.16346700647958,30701,"[8.5, -7.75, 0]",45.98384094238281,0.0,42.399906158447266,1653450398576126976,
0,0.022,22,False,225,108,108,108,0,0,2,-343.4633363462709,30926,"[-7.75, -9.75, 0]",83.12063598632812,0.0,81.54473876953125,1653450481575131648,
0,0.022,22,False,66,109,109,109,0,0,2,-175.6529195936183,30992,"[-8.25, 10.0, 0]",39.46438980102539,0.0,27.91559600830078,1653450511022477312,
0,0.022,22,False,188,110,110,110,0,0,2,-286.789786938593,31180,"[10.0, 8.5, 0]",79.02633666992188,0.0,69.64348602294922,1653450582119985152,
0,0.022,22,False,133,111,111,111,0,0,2,-263.22452321092914,31313,"[-10.75, -7.75, 0]",46.60878372192383,0.0,50.455078125,1653450634107252224,
0,0.022,22,False,274,112,112,112,0,0,2,-376.9495077081289,31587,"[9.5, 10.5, 0]",97.20486450195312,0.0,101.45916748046875,1653450737036223488,
0,0.022,22,False,82,113,113,113,0,0,2,-188.54303149361675,31669,"[-10.75, 9.0, 0]",41.29456329345703,0.0,34.968746185302734,1653450773592016896,
0,0.022,22,False,79,114,114,114,0,0,2,-204.2076370584823,31748,"[-9.75, -8.75, 0]",42.44718933105469,0.0,34.1107292175293,1653450809117990912,
0,0.022,22,False,126,115,115,115,0,0,2,-232.48833737367124,31874,"[-8.25, 9.0, 0]",48.62148666381836,0.0,49.75006103515625,1653450860321672448,
0,0.023,23,True,174,116,116,116,0,0,2,836.0402266260728,32048,"[7.5, 7.5, 0]",77.83918762207031,0.0,68.19745635986328,1653450930054975232,
0,0.023,23,False,292,117,117,117,0,0,2,-397.38985666249397,32340,"[-9.75, -9.25, 0]",127.83032989501953,0.0,111.52137756347656,1653451043185484544,
