cur_zone_number,success_ratio_within_window,success_count_within_window,success,stepN,episodeN,episodeNInZone,episodeInWindow,ease_count,total_streched_ctr,restart_game_count,total_reward,total_step_count_for_experiment,goal,distance_traveled,energy_consumed,flight_time,time_stamp,weight_file_under_test
0,0.016,16,False,74,66,66,66,0,0,1,-196.31179448397228,19662,"[9.5, 11.0, 0]",63.041534423828125,0.0,41.13987731933594,1652813523316649984,
0,0.016,16,False,59,67,67,67,0,0,1,-178.02244069257955,19721,"[-10.25, -7.75, 0]",46.148658752441406,0.0,33.363712310791016,1652813557846272768,
0,0.016,16,False,204,68,68,68,0,0,1,-332.7042142128747,19925,"[-9.25, -9.75, 0]",115.83341217041016,0.0,96.50006103515625,1652813655491371520,
0,0.016,16,False,80,69,69,69,0,0,1,-199.7182579981353,20005,"[-7.75, -10.75, 0]",69.00615692138672,0.0,43.66292953491211,1652813700446376192,
0,0.016,16,False,38,70,70,70,0,0,1,-142.84927371491165,20043,"[8.0, -9.25, 0]",40.61870193481445,0.0,24.71152687072754,1652813726327411200,
0,0.016,16,False,89,71,71,71,0,0,1,-215.771222812812,20132,"[-11.25, 7.5, 0]",60.52011489868164,0.0,47.212005615234375,1652813774668405248,
0,0.016,16,False,50,72,72,72,0,0,1,-172.2905340779896,20182,"[-10.25, -7.25, 0]",45.139766693115234,0.0,29.75763511657715,1652813805466923520,
0,0.016,16,False,83,73,73,73,0,0,1,-194.83116256164828,20265,"[7.5, 10.0, 0]",45.16978454589844,0.0,45.70897674560547,1652813852282932480,
0,0.016,16,False,79,74,74,74,0,0,1,-197.32024120280695,20344,"[-7.25, -9.75, 0]",52.33757781982422,0.0,41.09187698364258,1652813894659134976,
0,0.017,17,True,13,75,75,75,0,0,1,996.3738988693626,20357,"[11.0, 7.0, 0]",24.496767044067383,0.0,13.239282608032227,1652813909083335168,
0,0.017,17,False,263,76,76,76,0,0,1,-370.73116565889296,20620,"[-7.75, 7.0, 0]",152.26597595214844,0.0,126.60569763183594,1652814036836281856,
0,0.018,18,True,23,77,77,77,0,0,1,985.58862635062,20643,"[10.0, -10.75, 0]",27.63514518737793,0.0,17.78738021850586,1652814055915113216,
0,0.018,18,False,74,78,78,78,0,0,1,-182.0458409464565,20717,"[10.5, -7.25, 0]",69.20729064941406,0.0,43.05991744995117,1652814100137515008,
0,0.018,18,False,57,79,79,79,0,0,1,-177.84663428306703,20774,"[-7.75, -9.25, 0]",55.83708190917969,0.0,33.96372604370117,1652814135286317824,
0,0.019,19,True,80,80,80,80,0,0,1,929.7796760858698,20854,"[7.0, 9.0, 0]",92.153564453125,0.0,47.36500930786133,1652814183710689024,
0,0.019,19,False,35,81,81,81,0,0,1,-137.56860151458883,20889,"[-10.75, -8.25, 0]",46.42009735107422,0.0,23.27449607849121,1652814208196262144,
0,0.019,19,False,64,82,82,82,0,0,1,-193.7342469325576,20953,"[9.5, 11.0, 0]",58.52347183227539,0.0,39.165836334228516,1652814248506684160,
0,0.019,19,False,78,83,83,83,0,0,1,-196.39817986479363,21031,"[-9.25, -10.25, 0]",45.4693603515625,0.0,41.274879455566406,1652814290895551232,
0,0.019,19,False,121,84,84,84,0,0,1,-222.83413258868265,21152,"[8.5, -8.25, 0]",47.51967239379883,0.0,29.049619674682617,1652814320976414976,
0,0.019,19,False,105,85,85,85,0,0,1,-234.27375618802884,21257,"[-7.75, -10.75, 0]",41.436283111572266,0.0,24.963533401489258,1652814346946322432,
0,0.019,19,False,89,86,86,86,0,0,1,-189.15179633807307,21346,"[8.5, 8.0, 0]",36.934505462646484,0.0,21.693462371826172,1652814369585671168,
0,0.019,19,False,98,87,87,87,0,0,1,-218.61440456188285,21444,"[-9.25, -8.25, 0]",39.182857513427734,0.0,23.48150062561035,1652814393897380352,
0,0.019,19,False,127,88,88,88,0,0,1,-234.89393430334707,21571,"[10.0, 9.0, 0]",40.90605926513672,0.0,28.44660758972168,1652814423184797440,
0,0.019,19,False,166,89,89,89,0,0,1,-286.899808207505,21737,"[9.0, 9.0, 0]",56.22802734375,0.0,36.26177215576172,1652814460258415360,
0,0.02,20,True,50,90,90,90,0,0,1,960.7067725698741,21787,"[10.5, -9.75, 0]",24.73392105102539,0.0,15.138322830200195,1652814476269750272,
0,0.021,21,True,168,91,91,91,0,0,1,844.6597776970934,21955,"[7.0, -10.25, 0]",51.33354568481445,0.0,36.45077896118164,1652814513564018176,
0,0.021,21,False,105,92,92,92,0,0,1,-224.97031250825006,22060,"[-9.25, -10.75, 0]",40.94486999511719,0.0,25.041534423828125,1652814539488571392,
0,0.021,21,False,216,93,93,93,0,0,1,-337.3124935987048,22276,"[-11.25, 8.5, 0]",57.52255630493164,0.0,45.99098205566406,1652814586309098752,
0,0.022,22,True,135,94,94,94,0,0,1,877.5522603704235,22411,"[8.0, 8.5, 0]",44.92969512939453,0.0,30.762657165527344,1652814617966095104,
0,0.022,22,False,120,95,95,95,0,0,1,-243.53406470338507,22531,"[9.5, 11.0, 0]",42.39091491699219,0.0,28.080598831176758,1652814646943385088,
0,0.022,22,False,81,96,96,96,0,0,1,-180.06248764957218,22612,"[9.5, -9.75, 0]",38.73258972167969,0.0,21.009449005126953,1652814668813852160,
